image,model,psnr,ssim,mae,mse,rmse,lpips
00741.png,RetinexTapetum,12.539897270907435,0.5224924399668956,59.336883544921875,3623.18603515625,60.192906850859515,0.23034073412418365
00742.png,RetinexTapetum,9.14170578245632,0.12624861841082782,87.10694122314453,7923.3671875,89.01329781274256,0.6806612014770508
00743.png,RetinexTapetum,13.360453869213188,0.5548465804969052,53.1754150390625,2999.404052734375,54.76681525097452,0.2751564383506775
00744.png,RetinexTapetum,11.557305757425008,0.3908738386644653,65.3614273071289,4543.07373046875,67.40232733718288,0.41492077708244324
00745.png,RetinexTapetum,12.611002441044878,0.49541029062184655,56.32874298095703,3564.34814453125,59.7021619753527,0.27061089873313904
00746.png,RetinexTapetum,12.53960727432213,0.48768376444466144,56.604095458984375,3623.427978515625,60.19491655044988,0.2748015522956848
00747.png,RetinexTapetum,11.858661220943137,0.40538922931377375,63.442955017089844,4238.52001953125,65.10391708285493,0.2951695919036865
00748.png,RetinexTapetum,11.911368844837412,0.4155120139723243,63.15338897705078,4187.390625,64.71005041722654,0.2888319790363312
00749.png,RetinexTapetum,10.860604674230089,0.35621436575911997,71.2069091796875,5333.59326171875,73.03145392034004,0.4508846402168274
00750.png,RetinexTapetum,10.536014916136121,0.31069602490174725,74.06510925292969,5747.49853515625,75.81225847550151,0.42748478055000305
00751.png,RetinexTapetum,11.606031318294047,0.2875661027765513,64.57894897460938,4492.3876953125,67.02527654036572,0.40893206000328064
00752.png,RetinexTapetum,11.832127891115505,0.3289060942119217,62.590293884277344,4264.49462890625,65.3030981570266,0.47654324769973755
00753.png,RetinexTapetum,13.894190922731495,0.4018337946565664,49.92924880981445,2652.535888671875,51.50277554338091,0.3694862425327301
00754.png,RetinexTapetum,13.86354870669278,0.3991649230662351,50.111534118652344,2671.3173828125,51.684788698537794,0.3727312386035919
00755.png,RetinexTapetum,12.186548159756786,0.19574965761245933,60.48597717285156,3930.298583984375,62.6920934726571,0.5826952457427979
00756.png,RetinexTapetum,12.164778698789704,0.1899653093224479,60.623565673828125,3950.049072265625,62.849415846653855,0.5900834202766418
00757.png,RetinexTapetum,9.645886329843973,0.23383563678095284,82.05924987792969,7054.9140625,83.99353583758693,0.5313664078712463
00758.png,RetinexTapetum,9.944634964590673,0.26546129012141867,79.44003295898438,6585.92626953125,81.1537199981076,0.5309717655181885
00759.png,RetinexTapetum,15.00971732318198,0.547610490403629,42.171844482421875,2051.67529296875,45.29542242841709,0.21628667414188385
00760.png,RetinexTapetum,14.951995563520201,0.5553997651473589,42.8515625,2079.1259765625,45.59743388133262,0.20765309035778046
00761.png,RetinexTapetum,12.964177386276381,0.38336491445914583,53.03138732910156,3285.962646484375,57.323316778466115,0.35879355669021606
00762.png,RetinexTapetum,12.859079781780478,0.37411707860812754,53.636966705322266,3366.45166015625,58.0211311519885,0.3627317547798157
00763.png,RetinexTapetum,16.131593777284362,0.5468917878846381,38.984519958496094,1584.6048583984375,39.807095578532696,0.27901002764701843
00764.png,RetinexTapetum,15.60509197651827,0.49731877483609965,41.581459045410156,1788.838623046875,42.29466423849319,0.2655307948589325
00765.png,RetinexTapetum,12.15025254175915,0.3430450088524329,57.142066955566406,3963.283203125,62.95461224664163,0.24761885404586792
00766.png,RetinexTapetum,12.153635412962775,0.348077799653909,57.199867248535156,3960.197265625,62.93009824896986,0.24393467605113983
00767.png,RetinexTapetum,10.47601972333285,0.1457126142324928,65.12482452392578,5827.44775390625,76.33772169711544,0.4262049198150635
00768.png,RetinexTapetum,10.8823786638178,0.17920277085815992,62.56296157836914,5306.91943359375,72.84860625704344,0.4259105622768402
00769.png,RetinexTapetum,15.778269364942954,0.3983148726128578,38.5040283203125,1718.9111328125,41.45975316873582,0.36741161346435547
00770.png,RetinexTapetum,15.79776379698265,0.39940535295342366,38.39045333862305,1711.212646484375,41.36680609479507,0.3712322413921356
00771.png,RetinexTapetum,14.693451477136792,0.4212866559724027,44.723140716552734,2206.658935546875,46.975088457041515,0.18047374486923218
00772.png,RetinexTapetum,14.88570329644963,0.5054092835687216,44.210750579833984,2111.10595703125,45.94677308616188,0.18181605637073517
00773.png,RetinexTapetum,9.676611114336353,0.20542415711968623,80.9848861694336,7005.17919921875,83.69694856575568,0.5590991377830505
00774.png,RetinexTapetum,9.598218719204192,0.19421768338494225,81.69790649414062,7132.7744140625,84.45575417970348,0.5590516924858093
00775.png,RetinexTapetum,12.077369302684389,0.3969465452656326,58.64152908325195,4030.356201171875,63.485086446911886,0.2432611882686615
00776.png,RetinexTapetum,11.97463516734695,0.3820685875458891,59.45375061035156,4126.83251953125,64.2404274544562,0.23993372917175293
00777.png,RetinexTapetum,10.26591422295165,0.195757243788541,71.17414855957031,6116.30224609375,78.20679155990067,0.4138692617416382
